Instance;Projects;NARLF;NARLF';UF;varUF;Gini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr1.rcmp;10;-26,89;-26,89;1,8;0,01;0,46;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr2.rcmp;10;-16,84;-15,69;1,71;0;0,46;0,18;0,17;0,19;0,19;0,19;0,18;0,19;0,18;0,17;0,18;0,14;0,12;0,13;0,11;0,14;0,12;0,12;0,11;0,13;0,11;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr3.rcmp;10;-13,44;-9,78;0,75;0,01;0,43;0,38;0,36;0,38;0,37;0,38;0,39;0,38;0,38;0,37;0,37;0,16;0,13;0,13;0,13;0,11;0,14;0,13;0,13;0,13;0,13;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr4.rcmp;10;-10,46;-11,43;2,36;0;0,38;0,38;0,36;0,39;0,36;0,36;0,35;0,39;0,33;0,39;0,35;0,13;0,12;0,13;0,12;0,13;0,13;0,14;0,11;0,12;0,13;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5.rcmp;10;-8,08;-10,98;2,95;0;0,43;0,36;0,35;0,39;0,36;0,37;0,37;0,37;0,36;0,38;0,39;0,16;0,13;0,13;0,12;0,13;0,11;0,16;0,13;0,13;0,13;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5_AgentCopp1.rcmp;10;-17,41;-10,25;5,49;1,52;0,46;0,17;0,16;0,17;0,24;0,28;0,25;0,37;0,36;0,36;0,39;0,11;0,11;0,11;0,12;0,13;0,13;0,13;0,13;0,12;0,13;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5_AgentCopp10.rcmp;10;-11,99;-16,98;1,39;0;0,51;0,2;0,16;0,29;0,29;0,28;0,35;0,36;0,38;0,37;0,37;0,14;0,09;0,12;0,14;0,13;0,12;0,13;0,11;0,12;0,11;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5_AgentCopp2.rcmp;10;-16,84;-15,69;3,11;0,02;0,46;0,18;0,17;0,19;0,19;0,19;0,18;0,19;0,18;0,17;0,18;0,14;0,12;0,13;0,11;0,14;0,12;0,12;0,11;0,13;0,11;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5_AgentCopp3.rcmp;10;-11,19;-15,65;3;0,01;0,43;0,25;0,27;0,26;0,28;0,32;0,3;0,3;0,37;0,39;0,37;0,11;0,11;0,13;0,13;0,15;0,14;0,14;0,15;0,17;0,16;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5_AgentCopp4.rcmp;10;-18,98;-19,75;3,21;0,01;0,48;0,21;0,2;0,15;0,17;0,17;0,18;0,19;0,18;0,25;0,25;0,11;0,14;0,09;0,11;0,12;0,12;0,13;0,13;0,12;0,12;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5_AgentCopp5.rcmp;10;-11,99;-11,34;3;0,01;0,51;0,2;0,16;0,29;0,29;0,28;0,35;0,36;0,38;0,37;0,37;0,14;0,09;0,12;0,14;0,13;0,12;0,13;0,11;0,12;0,11;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5_AgentCopp6.rcmp;10;-12,83;-21,99;3,17;0,02;0,5;0,17;0,16;0,16;0,18;0,28;0,28;0,28;0,29;0,29;0,27;0,1;0,13;0,1;0,12;0,12;0,14;0,14;0,13;0,14;0,1;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5_AgentCopp7.rcmp;10;-16,84;-20,95;1,28;0;0,46;0,18;0,17;0,19;0,19;0,19;0,18;0,19;0,18;0,17;0,18;0,14;0,12;0,13;0,11;0,14;0,12;0,12;0,11;0,13;0,11;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5_AgentCopp8.rcmp;10;-11,19;-19,08;1,23;0;0,43;0,25;0,27;0,26;0,28;0,32;0,3;0,3;0,37;0,39;0,37;0,11;0,11;0,13;0,13;0,15;0,14;0,14;0,15;0,17;0,16;;;;;;;;;;;;;;;;;;;;
mp_j120_a10_nr5_AgentCopp9.rcmp;10;-18,98;-24,86;1,3;0;0,48;0,21;0,2;0,15;0,17;0,17;0,18;0,19;0,18;0,25;0,25;0,11;0,14;0,09;0,11;0,12;0,12;0,13;0,13;0,12;0,12;;;;;;;;;;;;;;;;;;;;
mp_j120_a20_nr1.rcmp;20;-18,23;-18,23;0,64;0,01;0,45;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
mp_j120_a20_nr2.rcmp;20;-10,31;-10,88;0,93;0;0,41;0,25;0,27;0,26;0,28;0,32;0,3;0,3;0,37;0,39;0,37;0,39;0,37;0,4;0,37;0,37;0,37;0,38;0,37;0,4;0,37;0,11;0,11;0,13;0,13;0,15;0,14;0,14;0,15;0,17;0,16;0,11;0,11;0,16;0,13;0,13;0,13;0,15;0,13;0,13;0,13
mp_j120_a20_nr3.rcmp;20;-15,14;-13,56;0,94;0;0,45;0,18;0,17;0,19;0,19;0,19;0,18;0,19;0,18;0,17;0,18;0,18;0,18;0,16;0,29;0,27;0,25;0,31;0,4;0,36;0,37;0,14;0,12;0,13;0,11;0,14;0,12;0,12;0,11;0,13;0,11;0,12;0,12;0,1;0,13;0,12;0,11;0,14;0,14;0,13;0,13
mp_j120_a20_nr4.rcmp;20;-14,26;-11,52;0,96;0;0,48;0,21;0,2;0,15;0,17;0,17;0,18;0,19;0,18;0,25;0,25;0,28;0,37;0,39;0,37;0,37;0,34;0,35;0,39;0,38;0,36;0,11;0,14;0,09;0,11;0,12;0,12;0,13;0,13;0,12;0,12;0,13;0,13;0,13;0,13;0,13;0,12;0,13;0,15;0,13;0,12
mp_j120_a20_nr5.rcmp;20;-11,82;-11,7;0,68;0;0,49;0,25;0,26;0,3;0,27;0,29;0,28;0,27;0,27;0,26;0,25;0,37;0,36;0,39;0,36;0,37;0,37;0,36;0,4;0,37;0,4;0,12;0,11;0,14;0,13;0,15;0,11;0,13;0,14;0,14;0,11;0,13;0,13;0,13;0,13;0,15;0,13;0,12;0,17;0,13;0,14
mp_j120_a20_nr5_AgentCopp1.rcmp;20;-13,21;-17,28;2,82;0,42;0,47;0,17;0,16;0,16;0,18;0,28;0,28;0,28;0,29;0,29;0,27;0,25;0,26;0,32;0,28;0,31;0,29;0,29;0,39;0,4;0,39;0,1;0,13;0,1;0,12;0,12;0,14;0,14;0,13;0,14;0,1;0,13;0,13;0,15;0,13;0,14;0,13;0,14;0,14;0,14;0,13
